fullName,name,gene_id,summary,Protein_Domains
tumor protein p53 binding protein 1,TP53BP1,5852,"This gene encodes a protein that functions in the DNA double-strand break repair pathway choice, promoting non-homologous end joining (NHEJ) pathways, and limiting homologous recombination. This protein plays multiple roles in the DNA damage response, including promoting checkpoint signaling following DNA damage, acting as a scaffold for recruitment of DNA damage response proteins to damaged chromatin, and promoting NHEJ pathways by limiting end resection following a double-strand break. These roles are also important during V(D)J recombination, class switch recombination and at unprotected telomeres. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Aug 2017].","['TP53-binding protein 1-like', 'BRCT domain superfamily', 'TP53-binding protein 1-like, first BRCT domain', 'BRCT domain', 'Large ribosomal subunit protein uL2, domain 2', 'Tumour suppressor p53-binding protein-1 Tudor domain', 'TP53-binding protein 1-like, second BRCT domain']"
"tumor protein, translationally-controlled 1",TPT1,5870,"This gene encodes a protein that is a regulator of cellular growth and proliferation. Its mRNA is highly structured and contains an oligopyrimidine tract (5'-TOP) in its 5' untranslated region that functions to repress its translation under quiescent conditions. The encoded protein is involved in a variety of cellular pathways, including apoptosis, protein synthesis and cell division. It binds to and stabilizes microtubules, and removal of this protein through phosphorylation is required for progression through mitotic and meiotic cell divisions. This gene is known to play a role in carcinogenesis, and is upregulated in some cancer cells. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Aug 2017].","['Mss4-like superfamily', 'Mss4/translationally controlled tumour-associated TCTP', 'Translationally controlled tumour protein, conserved site', 'Translationally controlled tumour protein', 'Translationally controlled tumour protein (TCTP) domain']"
heat shock protein 90 beta family member 1,HSP90B1,5876,"This gene encodes a member of a family of adenosine triphosphate(ATP)-metabolizing molecular chaperones with roles in stabilizing and folding other proteins. The encoded protein is localized to melanosomes and the endoplasmic reticulum. Expression of this protein is associated with a variety of pathogenic states, including tumor formation. There is a microRNA gene located within the 5' exon of this gene. There are pseudogenes for this gene on chromosomes 1 and 15. [provided by RefSeq, Aug 2012].","['Heat shock protein Hsp90 family', 'Histidine kinase/HSP90-like ATPase', 'Heat shock protein Hsp90, conserved site', 'Ribosomal protein uS5 domain 2-type superfamily', 'Heat shock protein Hsp90, N-terminal', 'Histidine kinase/HSP90-like ATPase superfamily', 'HSP90, C-terminal domain']"
TSPY like 1,TSPYL1,5939,"The protein encoded by this gene is found in the nucleolus and is similar to that of a family of genes on the Y-chromosome. This gene is intronless. Defects in this gene are a cause of sudden infant death with dysgenesis of the testes syndrome (SIDDT). [provided by RefSeq, Dec 2009].","['Nucleosome assembly protein (NAP)', 'NAP-like superfamily']"
tyrosine kinase 2,TYK2,5970,"This gene encodes a member of the tyrosine kinase and, more specifically, the Janus kinases (JAKs) protein families. This protein associates with the cytoplasmic domain of type I and type II cytokine receptors and promulgate cytokine signals by phosphorylating receptor subunits. It is also a component of both the type I and type III interferon signaling pathways. As such, it may play a role in anti-viral immunity. A mutation in this gene has been associated with Immunodeficiency 35. [provided by RefSeq, Sep 2020].","['FERM domain', 'FERM F1 lobe ubiquitin-like domain', 'Janus Kinase (JAK)', 'SH2 domain', 'JAK, FERM F2 lobe domain', 'JAK1-3/TYK2, pleckstrin homology-like domain', 'Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Protein kinase-like domain superfamily', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, active site', 'Tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, non-receptor, TYK2, N-terminal', 'Tyrosine-protein kinase, non-receptor Jak/Tyk2', 'Band 4.1 domain', 'FERM superfamily, second domain', 'SH2 domain superfamily']"
thymidylate synthetase,TYMS,5971,"Thymidylate synthase catalyzes the methylation of deoxyuridylate to deoxythymidylate using, 10-methylenetetrahydrofolate (methylene-THF) as a cofactor. This function maintains the dTMP (thymidine-5-prime monophosphate) pool critical for DNA replication and repair. The enzyme has been of interest as a target for cancer chemotherapeutic agents. It is considered to be the primary site of action for 5-fluorouracil, 5-fluoro-2-prime-deoxyuridine, and some folate analogs. Expression of this gene and that of a naturally occurring antisense transcript, mitochondrial enolase superfamily member 1 (GeneID:55556), vary inversely when cell-growth progresses from late-log to plateau phase. Polymorphisms in this gene may be associated with etiology of neoplasia, including breast cancer, and response to chemotherapy. [provided by RefSeq, Aug 2017].","['Thymidylate synthase', 'Thymidylate synthase, active site', 'Thymidylate synthase/dCMP hydroxymethylase domain', 'Thymidylate synthase/dCMP hydroxymethylase superfamily', 'Thymidylate synthase/dCMP hydroxymethylase']"
tyrosinase,TYR,5972,"The enzyme encoded by this gene catalyzes the first 2 steps, and at least 1 subsequent step, in the conversion of tyrosine to melanin. The enzyme has both tyrosine hydroxylase and dopa oxidase catalytic activities, and requires copper for function. Mutations in this gene result in oculocutaneous albinism, and nonpathologic polymorphisms result in skin pigmentation variation. The human genome contains a pseudogene similar to the 3' half of this gene. [provided by RefSeq, Oct 2008].","['Tyrosinase copper-binding domain', 'Di-copper centre-containing domain superfamily', 'Tyrosinase and Hemocyanin']"
ubiquitin conjugating enzyme E2 A,UBE2A,5988,"The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or short-lived proteins for degradation. Ubiquitination involves at least three classes of enzymes: ubiquitin-activating enzymes, ubiquitin-conjugating enzymes, and ubiquitin-protein ligases. This gene encodes a member of the E2 ubiquitin-conjugating enzyme family. This enzyme is required for post-replicative DNA damage repair, and may play a role in transcriptional regulation. Mutations in this gene are associated with cognitive disability. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2013].","['Ubiquitin-conjugating enzyme E2', 'Ubiquitin-conjugating enzyme/RWD-like', 'Ubiquitin-conjugating enzyme, active site', 'Ubiquitin-conjugating enzyme']"
upstream binding transcription factor,UBTF,6009,"This gene encodes a member of the HMG-box DNA-binding protein family. The encoded protein plays a critical role in ribosomal RNA transcription as a key component of the pre-initiation complex, mediating the recruitment of RNA polymerase I to rDNA promoter regions. The encoded protein may also play important roles in chromatin remodeling and pre-rRNA processing, and its activity is regulated by both phosphorylation and acetylation. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. Pseudogenes of this gene are located on the short arm of chromosomes 3, 11 and X and the long arm of chromosome 11. [provided by RefSeq, Aug 2011].","['High mobility group box domain', 'High mobility group box domain 5', 'High mobility group box domain superfamily', 'Upstream Binding Factor 1']"
UDP glucuronosyltransferase family 1 member A complex locus,UGT1A,6023,"This RefSeq represents a complex locus that encodes several UDP-glucuronosyltransferases. The locus includes thirteen unique alternate first exons followed by four common exons. Four of the alternate first exons are considered pseudogenes. Each of the remaining nine 5' exons may be spliced to the four common exons, resulting in nine proteins with different N-termini and identical C-termini. Each first exon encodes the substrate binding site, and is regulated by its own promoter. [provided by RefSeq, Jul 2008]",[]
lysine demethylase 6A,KDM6A,6054,"This gene is located on the X chromosome and is the corresponding locus to a Y-linked gene which encodes a tetratricopeptide repeat (TPR) protein. The encoded protein of this gene contains a JmjC-domain and catalyzes the demethylation of tri/dimethylated histone H3. Multiple alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Apr 2014].","['Lysine-specific demethylase 6, GATA-like domain superfamily', 'Lysine-specific demethylase 6A/B-like, GATA-like', 'Transcriptional Corepressor and Histone Demethylase', 'JmjC domain', 'Tetratricopeptide-like helical domain superfamily', 'Tetratricopeptide repeat', 'Lysine-specific demethylase 6A/B-like, C-terminal helical domain']"
vascular endothelial growth factor A,VEGFA,6071,"This gene is a member of the PDGF/VEGF growth factor family. It encodes a heparin-binding protein, which exists as a disulfide-linked homodimer. This growth factor induces proliferation and migration of vascular endothelial cells, and is essential for both physiological and pathological angiogenesis. Disruption of this gene in mice resulted in abnormal embryonic blood vessel formation. This gene is upregulated in many known tumors and its expression is correlated with tumor stage and progression. Elevated levels of this protein are found in patients with POEMS syndrome, also known as Crow-Fukase syndrome. Allelic variants of this gene have been associated with microvascular complications of diabetes 1 (MVCD1) and atherosclerosis. Alternatively spliced transcript variants encoding different isoforms have been described. There is also evidence for alternative translation initiation from upstream non-AUG (CUG) codons resulting in additional isoforms. A recent study showed that a C-terminally extended isoform is produced by use of an alternative in-frame translation termination codon via a stop codon readthrough mechanism, and that this isoform is antiangiogenic. Expression of some isoforms derived from the AUG start codon is regulated by a small upstream open reading frame, which is located within an internal ribosome entry site. The levels of VEGF are increased during infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), thus promoting inflammation by facilitating recruitment of inflammatory cells, and by increasing the level of angiopoietin II (Ang II), one of two products of the SARS-CoV-2 binding target, angiotensin-converting enzyme 2 (ACE2). In turn, Ang II facilitates the elevation of VEGF, thus forming a vicious cycle in the release of inflammatory cytokines. [provided by RefSeq, Jun 2020].","['PDGF/VEGF domain', 'Platelet-derived growth factor, conserved site', 'Vascular endothelial growth factor, heparin-binding domain', 'Cystine-knot cytokine', 'Platelet-derived/Vascular endothelial growth factor', 'Vascular endothelial growth factor, heparin-binding domain superfamily']"
vascular endothelial growth factor C,VEGFC,6073,"The protein encoded by this gene is a member of the platelet-derived growth factor/vascular endothelial growth factor (PDGF/VEGF) family. The encoded protein promotes angiogenesis and endothelial cell growth, and can also affect the permeability of blood vessels. The proprotein is further cleaved into a fully processed form that can bind and activate VEGFR-2 and VEGFR-3 receptors. [provided by RefSeq, Apr 2014].","['PDGF/VEGF domain', 'CXCXC repeat', 'Platelet-derived growth factor, conserved site', 'Cystine-knot cytokine', 'Platelet-derived/Vascular endothelial growth factor']"
WEE1 G2 checkpoint kinase,WEE1,6104,"This gene encodes a nuclear protein, which is a tyrosine kinase belonging to the Ser/Thr family of protein kinases. This protein catalyzes the inhibitory tyrosine phosphorylation of CDC2/cyclin B kinase, and appears to coordinate the transition between DNA replication and mitosis by protecting the nucleus from cytoplasmically activated CDC2 kinase. [provided by RefSeq, Jul 2008].","['Protein kinase domain', 'Serine/threonine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Cell Cycle and Stress Response Kinase', 'Wee1-like protein kinase', 'Protein kinase, ATP binding site']"
nuclear receptor binding SET domain protein 2,NSD2,6107,"This gene encodes a protein that contains four domains present in other developmental proteins: a PWWP domain, an HMG box, a SET domain, and a PHD-type zinc finger. It is expressed ubiquitously in early development. Wolf-Hirschhorn syndrome (WHS) is a malformation syndrome associated with a hemizygous deletion of the distal short arm of chromosome 4. This gene maps to the 165 kb WHS critical region and has also been involved in the chromosomal translocation t(4;14)(p16.3;q32.3) in multiple myelomas. Alternative splicing of this gene results in multiple transcript variants encoding different isoforms. Some transcript variants are nonsense-mediated mRNA (NMD) decay candidates, hence not represented as reference sequences. [provided by RefSeq, Jul 2008].","['SET domain', 'Zinc finger, PHD-type', 'Post-SET domain', 'Zinc finger, FYVE/PHD-type', 'Zinc finger, RING/FYVE/PHD-type', 'NSD, Cys-His rich domain', 'SET domain superfamily', 'SET2 Histone-Lysine N-Methyltransferase', 'PWWP domain', 'Zinc finger, RING-type', 'AWS domain', 'Zinc finger, PHD-type, conserved site', 'Zinc finger, PHD-finger', 'Nuclear SET domain-containing protein 2, second PWWP domain', 'Nuclear SET domain-containing protein 2, SET domain', 'Nuclear SET domain-containing protein 2, third PHD finger', 'High mobility group box domain', 'High mobility group box domain superfamily', 'Zinc finger CW-type PWWP domain protein ZCWPW1/ZCWPW2', 'Nuclear SET domain-containing protein 2, first PWWP domain', 'Nuclear SET domain-containing protein 2, HMG box', 'Histone-lysine N-methyltransferase NSD1 / NSD2, first PHD finger', 'Nuclear SET domain-containing protein 2, second PHD finger', 'Nuclear SET domain-containing protein 2, fifth PHD finger']"
Wnt family member 11,WNT11,6119,"The WNT gene family consists of structurally related genes which encode secreted signaling proteins. These proteins have been implicated in oncogenesis and in several developmental processes, including regulation of cell fate and patterning during embryogenesis. This gene is a member of the WNT gene family. It encodes a protein which shows 97%, 85%, and 63% amino acid identity with mouse, chicken, and Xenopus Wnt11 protein, respectively. This gene may play roles in the development of skeleton, kidney and lung, and is considered to be a plausible candidate gene for High Bone Mass Syndrome. [provided by RefSeq, Jul 2008].","['Wnt', 'Wnt protein, conserved site', 'Wnt, C-terminal domain']"
exportin 1,XPO1,6143,"This cell-cycle-regulated gene encodes a protein that mediates leucine-rich nuclear export signal (NES)-dependent protein transport. The protein specifically inhibits the nuclear export of Rev and U snRNAs. It is involved in the control of several cellular processes by controlling the localization of cyclin B, MPAK, and MAPKAP kinase 2. This protein also regulates NFAT and AP-1. [provided by RefSeq, Jan 2015].","['Armadillo-like helical', 'Importin-beta, N-terminal domain', 'Armadillo-type fold', 'Exportin-1/5', 'Exportin-1/Importin-beta-like', 'Exportin-1, C-terminal', 'Exportin-1, repeat 3', 'Chromosome region maintenance repeat', 'Exportin-1, repeat 2']"
X-ray repair cross complementing 1,XRCC1,6144,"The protein encoded by this gene is involved in the efficient repair of DNA single-strand breaks formed by exposure to ionizing radiation and alkylating agents. This protein interacts with DNA ligase III, polymerase beta and poly (ADP-ribose) polymerase to participate in the base excision repair pathway. It may play a role in DNA processing during meiogenesis and recombination in germ cells. A rare microsatellite polymorphism in this gene is associated with cancer in patients of varying radiosensitivity. [provided by RefSeq, Jul 2008].","['DNA-repair protein Xrcc1, N-terminal', 'Galactose-binding-like domain superfamily', 'BRCT domain', 'BRCT domain superfamily', 'XRCC1, first (central) BRCT domain']"
X-ray repair cross complementing 3,XRCC3,6146,"This gene encodes a member of the RecA/Rad51-related protein family that participates in homologous recombination to maintain chromosome stability and repair DNA damage. This gene functionally complements Chinese hamster irs1SF, a repair-deficient mutant that exhibits hypersensitivity to a number of different DNA-damaging agents and is chromosomally unstable. A rare microsatellite polymorphism in this gene is associated with cancer in patients of varying radiosensitivity. Alternatively spliced transcript variants encoding the same protein have been identified. [provided by RefSeq, Jul 2008].","['DNA recombination and repair protein RecA-like, ATP-binding domain', 'P-loop containing nucleoside triphosphate hydrolase', 'DNA recombination and repair protein Rad51-like, C-terminal', 'DNA recombination and repair protein, RecA-like', 'DNA repair protein XRCC3-like, C-terminal']"
"YES proto-oncogene 1, Src family tyrosine kinase",YES1,6152,"This gene is the cellular homolog of the Yamaguchi sarcoma virus oncogene. The encoded protein has tyrosine kinase activity and belongs to the src family of proteins. This gene lies in close proximity to thymidylate synthase gene on chromosome 18, and a corresponding pseudogene has been found on chromosome 22. [provided by RefSeq, Jul 2008].","['Protein kinase domain', 'SH2 domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'SH3 domain', 'Tyrosine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase Yes, SH3 domain', 'SH3-like domain superfamily', 'SH2 domain superfamily', 'Non-receptor tyrosine kinases involved in cell signaling']"
zinc finger protein 217,ZNF217,6281,"Enables DNA-binding transcription repressor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Involved in negative regulation of transcription by RNA polymerase II. Located in mitochondrion and nuclear speck. Part of histone deacetylase complex. [provided by Alliance of Genome Resources, Apr 2022]","['Zinc finger C2H2-type', 'Zinc finger C2H2 superfamily', 'Krueppel C2H2-type Zinc-Finger Domain-Containing Protein']"
BTG anti-proliferation factor 2,BTG2,6317,"The protein encoded by this gene is a member of the BTG/Tob family. This family has structurally related proteins that appear to have antiproliferative properties. This encoded protein is involved in the regulation of the G1/S transition of the cell cycle. [provided by RefSeq, Jul 2008].","['Anti-proliferative protein', 'BTG family', 'BTG-like domain superfamily']"
C-X-C motif chemokine receptor 4,CXCR4,6329,"This gene encodes a CXC chemokine receptor specific for stromal cell-derived factor-1. The protein has 7 transmembrane regions and is located on the cell surface. It acts with the CD4 protein to support HIV entry into cells and is also highly expressed in breast cancer cells. Mutations in this gene have been associated with WHIM (warts, hypogammaglobulinemia, infections, and myelokathexis) syndrome. Alternate transcriptional splice variants, encoding different isoforms, have been characterized. [provided by RefSeq, Jul 2008].","['G protein-coupled receptor, rhodopsin-like', 'Chemokine receptor family', 'CXC chemokine receptor 4/atypical chemokine receptor 2', 'GPCR, rhodopsin-like, 7TM', 'CXC chemokine receptor 4 N-terminal domain', 'G-protein coupled receptor 1']"
ubiquitin specific peptidase 7,USP7,6340,"The protein encoded by this gene belongs to the peptidase C19 family, which includes ubiquitinyl hydrolases. This protein deubiquitinates target proteins such as p53 (a tumor suppressor protein) and WASH (essential for endosomal protein recycling), and regulates their activities by counteracting the opposing ubiquitin ligase activity of proteins such as HDM2 and TRIM27, involved in the respective process. Mutations in this gene have been implicated in a neurodevelopmental disorder. [provided by RefSeq, Mar 2016].","['MATH/TRAF domain', 'TRAF-like', 'Peptidase C19, ubiquitin carboxyl-terminal hydrolase', 'Ubiquitin specific protease, conserved site', 'Ubiquitin carboxyl-terminal hydrolase 7, ICP0-binding domain', 'Ubiquitin specific protease domain', 'Ubiquitin carboxyl-terminal hydrolase, C-terminal', 'Papain-like cysteine peptidase superfamily', 'Ubiquitin carboxyl-terminal hydrolases']"
transcription factor EB,TFEB,6380,"Enables DNA-binding transcription factor activity; enzyme binding activity; and transcription cis-regulatory region binding activity. Involved in several processes, including cellular response to amino acid starvation; lysosome localization; and positive regulation of autophagy. Located in cytosol; lysosomal membrane; and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]","['Myc-type, basic helix-loop-helix (bHLH) domain', 'MiT/TFE transcription factors, C-terminal', 'Transcription factor EB, bHLHzip domain', 'MiT/TFE transcription factors, N-terminal', 'Helix-loop-helix DNA-binding domain superfamily']"
aminoacyl tRNA synthetase complex interacting multifunctional protein 2,AIMP2,6394,"The protein encoded by this gene is part of the aminoacyl-tRNA synthetase complex, which contains nine different aminoacyl-tRNA synthetases and three non-enzymatic factors. The encoded protein is one of the non-enzymatic factors and is required for assembly and stability of the complex. [provided by RefSeq, May 2016].","['Glutathione S-transferase, C-terminal', 'AIMP2, lysyl-tRNA synthetase binding domain', 'Glutathione S-transferase, C-terminal domain superfamily', 'AIMP2, thioredoxin-like domain', 'Aminoacyl tRNA synthase complex-interacting multifunctional protein 2']"
nuclear receptor subfamily 4 group A member 3,NR4A3,6415,"This gene encodes a member of the steroid-thyroid hormone-retinoid receptor superfamily. The encoded protein may act as a transcriptional activator. The protein can efficiently bind the NGFI-B Response Element (NBRE). Three different versions of extraskeletal myxoid chondrosarcomas (EMCs) are the result of reciprocal translocations between this gene and other genes. The translocation breakpoints are associated with Nuclear Receptor Subfamily 4, Group A, Member 3 (on chromosome 9) and either Ewing Sarcome Breakpoint Region 1 (on chromosome 22), RNA Polymerase II, TATA Box-Binding Protein-Associated Factor, 68-KD (on chromosome 17), or Transcription factor 12 (on chromosome 15). Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2010].","['Nuclear hormone receptor, ligand-binding domain', 'Zinc finger, nuclear hormone receptor-type', 'Nuclear hormone receptor', 'Nuclear receptor subfamily 4 group A member 1-3', 'Nuclear receptor subfamily 4 group A member 3', 'Zinc finger, NHR/GATA-type', 'Nuclear hormone receptor-like domain superfamily']"
leucine zipper like post translational regulator 1,LZTR1,6523,"This gene encodes a member of the BTB-kelch superfamily. Initially described as a putative transcriptional regulator based on weak homology to members of the basic leucine zipper-like family, the encoded protein subsequently has been shown to localize exclusively to the Golgi network where it may help stabilize the Gogli complex. Deletion of this gene may be associated with DiGeorge syndrome. [provided by RefSeq, Jul 2008].","['Kelch repeat type 1', 'Kelch-type beta propeller', 'LZTR1/Attractin', 'BTB/POZ domain', 'SKP1/BTB/POZ domain superfamily', 'Galactose oxidase/kelch, beta-propeller']"
"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2",ZRSR2,6534,"This gene encodes an essential splicing factor. The encoded protein associates with the U2 auxiliary factor heterodimer, which is required for the recognition of a functional 3' splice site in pre-mRNA splicing, and may play a role in network interactions during spliceosome assembly. [provided by RefSeq, Jul 2008].","['RNA recognition motif domain', 'Zinc finger, CCCH-type', 'RNA recognition motif domain, eukaryote', 'U2 auxiliary factor small subunit', 'Nucleotide-binding alpha-beta plait domain superfamily', 'RNA-binding domain superfamily']"
lysine demethylase 5C,KDM5C,6538,"This gene is a member of the SMCY homolog family and encodes a protein with one ARID domain, one JmjC domain, one JmjN domain and two PHD-type zinc fingers. The DNA-binding motifs suggest this protein is involved in the regulation of transcription and chromatin remodeling. Mutations in this gene have been associated with X-linked cognitive disability. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2009].","['ARID DNA-binding domain', 'Zinc finger, PHD-type', 'JmjC domain', 'JmjN domain', 'Zinc finger, C5HC2-type', 'Zinc finger, FYVE/PHD-type', 'Zinc finger, RING/FYVE/PHD-type', 'Lysine-specific demethylase-like domain', 'Zinc finger, PHD-type, conserved site', 'Zinc finger, PHD-finger', 'ARID DNA-binding domain superfamily', 'Lysine-specific demethylase 5, C-terminal helical domain']"
AT-rich interaction domain 1A,ARID1A,6559,"This gene encodes a member of the SWI/SNF family, whose members have helicase and ATPase activities and are thought to regulate transcription of certain genes by altering the chromatin structure around those genes. The encoded protein is part of the large ATP-dependent chromatin remodeling complex SNF/SWI, which is required for transcriptional activation of genes normally repressed by chromatin. It possesses at least two conserved domains that could be important for its function. First, it has a DNA-binding domain that can specifically bind an AT-rich DNA sequence known to be recognized by a SNF/SWI complex at the beta-globin locus. Second, the C-terminus of the protein can stimulate glucocorticoid receptor-dependent transcriptional activation. It is thought that the protein encoded by this gene confers specificity to the SNF/SWI complex and may recruit the complex to its targets through either protein-DNA or protein-protein interactions. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008].","['ARID DNA-binding domain', 'Armadillo-like helical', 'Armadillo-type fold', 'SWI/SNF-like complex subunit BAF250/Osa', 'AT-rich interactive domain-containing protein 1A, ARID/BRIGHT DNA binding domain', 'SWI/SNF-like complex subunit BAF250, C-terminal', 'ARID DNA-binding domain superfamily']"
axin 2,AXIN2,6572,"The Axin-related protein, Axin2, presumably plays an important role in the regulation of the stability of beta-catenin in the Wnt signaling pathway, like its rodent homologs, mouse conductin/rat axil. In mouse, conductin organizes a multiprotein complex of APC (adenomatous polyposis of the colon), beta-catenin, glycogen synthase kinase 3-beta, and conductin, which leads to the degradation of beta-catenin. Apparently, the deregulation of beta-catenin is an important event in the genesis of a number of malignancies. The AXIN2 gene has been mapped to 17q23-q24, a region that shows frequent loss of heterozygosity in breast cancer, neuroblastoma, and other tumors. Mutations in this gene have been associated with colorectal cancer with defective mismatch repair. [provided by RefSeq, Jul 2008].","['RGS domain', 'RGS, subdomain 1/3', 'Axin-1/2, tankyrase-binding domain', 'RGS domain superfamily', 'Axin-like', 'RGS, subdomain 2', 'DIX domain', 'Axin beta-catenin binding', 'Ubiquitin-like domain superfamily', 'DIX domain superfamily']"
H2A clustered histone 6,H2AC6,6590,"Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Two molecules of each of the four core histones (H2A, H2B, H3, and H4) form an octamer, around which approximately 146 bp of DNA is wrapped in repeating units, called nucleosomes. The linker histone, H1, interacts with linker DNA between nucleosomes and functions in the compaction of chromatin into higher order structures. This gene is intronless and encodes a replication-dependent histone that is a member of the histone H2A family. Transcripts from this gene lack polyA tails but instead contain a palindromic termination element. This gene is found in the large histone gene cluster on chromosome 6. [provided by RefSeq, Aug 2015].","['Histone H2A', 'Histone H2A/H2B/H3', 'Histone-fold', 'Histone H2A, C-terminal domain', 'Histone H2A conserved site']"
H2A clustered histone 17,H2AC17,6592,"Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Two molecules of each of the four core histones (H2A, H2B, H3, and H4) form an octamer, around which approximately 146 bp of DNA is wrapped in repeating units, called nucleosomes. The linker histone, H1, interacts with linker DNA between nucleosomes and functions in the compaction of chromatin into higher order structures. This gene is intronless and encodes a replication-dependent histone that is a member of the histone H2A family. Transcripts from this gene lack polyA tails but instead contain a palindromic termination element. This gene is found in the small histone gene cluster on chromosome 6p22-p21.3. [provided by RefSeq, Aug 2015].","['Histone H2A', 'Histone H2A/H2B/H3', 'Histone-fold', 'Histone H2A, C-terminal domain', 'Histone H2A conserved site']"
H3 clustered histone 2,H3C2,6614,"Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. This structure consists of approximately 146 bp of DNA wrapped around a nucleosome, an octamer composed of pairs of each of the four core histones (H2A, H2B, H3, and H4). The chromatin fiber is further compacted through the interaction of a linker histone, H1, with the DNA between the nucleosomes to form higher order chromatin structures. This gene is intronless and encodes a replication-dependent histone that is a member of the histone H3 family. Transcripts from this gene lack polyA tails; instead, they contain a palindromic termination element. This gene is found in the large histone gene cluster on chromosome 6p22-p21.3. [provided by RefSeq, Aug 2015].","['Histone H3/CENP-A', 'Histone H2A/H2B/H3', 'Histone-fold']"
speckle type BTB/POZ protein,SPOP,6652,"This gene encodes a protein that may modulate the transcriptional repression activities of death-associated protein 6 (DAXX), which interacts with histone deacetylase, core histones, and other histone-associated proteins. In mouse, the encoded protein binds to the putative leucine zipper domain of macroH2A1.2, a variant H2A histone that is enriched on inactivated X chromosomes. The BTB/POZ domain of this protein has been shown in other proteins to mediate transcriptional repression and to interact with components of histone deacetylase co-repressor complexes. Alternative splicing of this gene results in multiple transcript variants encoding the same protein. [provided by RefSeq, Jul 2008].","['MATH/TRAF domain', 'TRAF-like', 'BTB/POZ domain', 'SKP1/BTB/POZ domain superfamily', 'SPOP, C-terminal BACK domain']"
RAD54 like,RAD54L,6676,"The protein encoded by this gene belongs to the DEAD-like helicase superfamily, and shares similarity with Saccharomyces cerevisiae Rad54, a protein known to be involved in the homologous recombination and repair of DNA. This protein has been shown to play a role in homologous recombination related repair of DNA double-strand breaks. The binding of this protein to double-strand DNA induces a DNA topological change, which is thought to facilitate homologous DNA paring, and stimulate DNA recombination. Alternative splicing results in multiple transcript variants encoding the same protein.[provided by RefSeq, Dec 2008].","['SNF2, N-terminal', 'Helicase, C-terminal domain-like', 'P-loop containing nucleoside triphosphate hydrolase', 'SNF2/RAD5-like, C-terminal helicase domain', 'SNF2/RAD54 Helicase and DNA Repair', 'Helicase superfamily 1/2, ATP-binding domain', 'SNF2-like, N-terminal domain superfamily']"
leucine rich repeat containing G protein-coupled receptor 5,LGR5,6772,"The protein encoded by this gene is a leucine-rich repeat-containing receptor (LGR) and member of the G protein-coupled, 7-transmembrane receptor (GPCR) superfamily. The encoded protein is a receptor for R-spondins and is involved in the canonical Wnt signaling pathway. This protein plays a role in the formation and maintenance of adult intestinal stem cells during postembryonic development. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2015].","['G protein-coupled receptor, rhodopsin-like', 'Leucine-rich repeat N-terminal domain', 'Leucine-rich repeat', 'Glycoprotein hormone receptor family', 'Leucine-rich repeat, typical subtype', 'GPCR, rhodopsin-like, 7TM', 'Leucine rich repeat 4', 'Leucine-rich repeat domain superfamily']"
suppressor of cytokine signaling 1,SOCS1,6856,"This gene encodes a member of the STAT-induced STAT inhibitor (SSI), also known as suppressor of cytokine signaling (SOCS), family. SSI family members are cytokine-inducible negative regulators of cytokine signaling. The expression of this gene can be induced by a subset of cytokines, including IL2, IL3 erythropoietin (EPO), CSF2/GM-CSF, and interferon (IFN)-gamma. The protein encoded by this gene functions downstream of cytokine receptors, and takes part in a negative feedback loop to attenuate cytokine signaling. Knockout studies in mice suggested the role of this gene as a modulator of IFN-gamma action, which is required for normal postnatal growth and survival. [provided by RefSeq, Jul 2008].","['SH2 domain', 'SOCS box domain', 'SOCS1, SH2 domain', 'SOCS box-like domain superfamily', 'SH2 domain superfamily']"
